,videoname,n_frame_total,n_frame_no_recuperados
0,aprender_175,10,2.0
1,aprender_18,10,6.0
2,aprender_195,10,3.0
3,aprender_217,10,2.0
4,aprender_27,10,6.0
5,aprender_282,10,2.0
6,aprender_34,10,2.0
7,aprender_35,10,5.0
8,aprender_7,10,5.0
9,aprender__466,10,3.0
10,bien_147,10,1.0
11,bien_174,10,5.0
12,bien_230,10,
13,bien_241,10,4.0
14,bien_244,10,3.0
15,bien_269,10,7.0
16,bien_278,10,2.0
17,bien_329,10,1.0
18,bien_337,10,2.0
19,bien_416,10,
20,comer_146,10,7.0
21,comer_164,10,7.0
22,comer_313,10,4.0
23,comer_477,10,1.0
24,comer_484,10,8.0
25,comer_489,10,9.0
26,comer_705,10,4.0
27,comer_743,10,7.0
28,comer_779,10,10.0
29,comer_86,10,5.0
30,cuánto_405,10,2.0
31,cuánto_420,10,1.0
32,cuánto_445,10,2.0
33,cuánto_448,10,
34,cuánto_456,10,3.0
35,cuánto_483,10,2.0
36,cuánto_706,10,3.0
37,cuánto_708,10,2.0
38,cuánto_742,10,2.0
39,cuánto_744,10,1.0
40,cómo_12,10,7.0
41,cómo_171,10,
42,cómo_223,10,2.0
43,cómo_230,10,1.0
44,cómo_387,10,10.0
45,cómo_427,10,2.0
46,cómo_44,10,2.0
47,cómo_85,10,4.0
48,cómo_9,10,2.0
49,cómo_90,10,6.0
50,decir_101,10,10.0
51,decir_138,10,3.0
52,decir_224,10,1.0
53,decir_265,10,1.0
54,decir_276,10,7.0
55,decir_321,10,3.0
56,decir_433,10,3.0
57,decir_528,10,5.0
58,decir_755,10,2.0
59,decir_789,10,7.0
60,dentro_369,10,8.0
61,dentro_457,10,8.0
62,dentro_486,10,4.0
63,dentro_55,10,3.0
64,dentro_566,10,4.0
65,dentro_596,10,3.0
66,dentro_603,10,
67,dentro_627,10,2.0
68,dentro_692,10,5.0
69,dentro_73,10,6.0
70,emoción_143,10,1.0
71,emoción_145,10,1.0
72,emoción_249,10,1.0
73,emoción_272,10,
74,emoción_281,10,2.0
75,emoción_43,10,1.0
76,emoción_45,10,1.0
77,emoción_54,10,
78,emoción_71,10,
79,emoción_81,10,
80,ese_100,10,10.0
81,ese_143,10,2.0
82,ese_214,10,4.0
83,ese_385,10,10.0
84,ese_544,10,1.0
85,ese_608,10,7.0
86,ese_638,10,7.0
87,ese_642,10,5.0
88,ese_697,10,10.0
89,ese_719,10,1.0
90,fuerte_152,10,3.0
91,fuerte_153,10,6.0
92,fuerte_240,10,
93,fuerte_314,10,3.0
94,fuerte_361,10,2.0
95,fuerte_362,10,4.0
96,fuerte_363,10,3.0
97,fuerte_571,10,
98,fuerte_584,10,3.0
99,fuerte_588,10,3.0
100,pensar_213,10,2.0
101,pensar_339,10,6.0
102,pensar_378,10,4.0
103,pensar_61,10,4.0
104,pensar_613,10,1.0
105,pensar_623,10,
106,pensar_66,10,9.0
107,pensar_761,10,10.0
108,pensar_771,10,6.0
109,pensar_97,10,
110,sentir_14,10,1.0
111,sentir_149,10,1.0
112,sentir_16,10,
113,sentir_187,10,1.0
114,sentir_38,10,
115,sentir_458,10,3.0
116,sentir_570,10,3.0
117,sentir_591,10,1.0
118,sentir_604,10,
119,sentir_89,10,
120,sí_200,10,4.0
121,sí_228,10,2.0
122,sí_240,10,2.0
123,sí_251,10,4.0
124,sí_277,10,3.0
125,sí_315,10,2.0
126,sí_37,10,4.0
127,sí_657,10,
128,sí_659,10,4.0
129,sí_76,10,2.0
130,tú_154,10,
131,tú_176,10,
132,tú_263,10,4.0
133,tú_277,10,7.0
134,tú_53,10,3.0
135,tú_635,10,1.0
136,tú_639,10,7.0
137,tú_711,10,1.0
138,tú_778,10,10.0
139,tú_96,10,1.0
140,yo_113,10,
141,yo_121,10,
142,yo_123,10,
143,yo_125,10,
144,yo_152,10,1.0
145,yo_164,10,
146,yo_193,10,1.0
147,yo_235,10,
148,yo_237,10,
149,yo_3,10,4.0
